date_,adj close_escorts.ns,close_escorts.ns,high_escorts.ns,low_escorts.ns,open_escorts.ns,volume_escorts.ns
2024-04-19,3066.36083984375,3106.699951171875,3139.949951171875,2961.199951171875,2972.0,962091
2024-04-22,3134.168701171875,3175.39990234375,3195.0,3115.050048828125,3115.050048828125,469842
2024-04-23,3170.83642578125,3212.550048828125,3225.0,3144.0,3185.050048828125,315757
2024-04-24,3208.44140625,3250.64990234375,3256.0,3196.0,3216.0,271132
2024-04-25,3208.44140625,3250.64990234375,3275.0,3223.800048828125,3275.0,161514
2024-04-26,3248.95849609375,3291.699951171875,3307.300048828125,3200.050048828125,3250.699951171875,228661
2024-04-29,3244.665283203125,3287.35009765625,3317.800048828125,3271.0,3317.800048828125,117008
2024-04-30,3314.940673828125,3358.550048828125,3410.0,3291.10009765625,3294.449951171875,588700
2024-05-02,3434.616455078125,3479.800048828125,3491.85009765625,3331.10009765625,3365.0,430222
2024-05-03,3439.3046875,3484.550048828125,3503.35009765625,3397.35009765625,3481.0,548565
2024-05-06,3428.990234375,3474.10009765625,3519.85009765625,3441.0,3491.0,199230
2024-05-07,3396.02392578125,3440.699951171875,3486.949951171875,3413.60009765625,3468.699951171875,242500
2024-05-08,3492.45556640625,3538.39990234375,3570.0,3407.550048828125,3415.0,411500
2024-05-09,3400.61376953125,3445.35009765625,3542.0,3410.35009765625,3540.0,426484
2024-05-10,3507.161865234375,3553.300048828125,3582.0,3443.199951171875,3465.0,949760
2024-05-13,3553.0087890625,3599.75,3619.0,3510.0,3541.0,346779
2024-05-14,3606.603759765625,3654.050048828125,3665.0,3530.699951171875,3609.0,287889
2024-05-15,3602.31005859375,3649.699951171875,3664.949951171875,3594.050048828125,3641.0,258170
2024-05-16,3699.876953125,3748.550048828125,3754.39990234375,3640.449951171875,3651.949951171875,303351
2024-05-17,3751.20166015625,3800.550048828125,3811.699951171875,3725.0,3763.949951171875,214969
2024-05-21,3836.923828125,3887.39990234375,3942.25,3838.050048828125,3909.699951171875,339711
2024-05-22,3784.858642578125,3834.64990234375,3921.60009765625,3823.199951171875,3895.75,223453
2024-05-23,3761.565185546875,3811.050048828125,3847.949951171875,3774.85009765625,3847.949951171875,165580
2024-05-24,3763.637939453125,3813.14990234375,3838.0,3768.050048828125,3800.0,227635
2024-05-27,3804.944580078125,3855.0,3884.60009765625,3805.14990234375,3813.14990234375,211336
2024-05-28,3796.752197265625,3846.699951171875,3928.89990234375,3810.10009765625,3855.0,350701
2024-05-29,3803.365234375,3853.39990234375,3888.0,3602.0,3602.0,331082
2024-05-30,3798.232666015625,3848.199951171875,3869.800048828125,3793.64990234375,3844.0,139121
2024-05-31,3768.720947265625,3818.300048828125,3894.0,3792.10009765625,3848.199951171875,155772
2024-06-03,3839.83544921875,3890.35009765625,3929.199951171875,3818.0,3845.0,196258
2024-06-04,3753.126220703125,3802.5,3929.25,3556.449951171875,3860.0,339748
2024-06-05,3858.19384765625,3908.949951171875,4019.89990234375,3753.10009765625,3802.5,483715
2024-06-06,3958.9189453125,4011.0,4038.85009765625,3910.050048828125,3919.0,407715
2024-06-07,3936.365478515625,3988.14990234375,4050.0,3974.949951171875,4020.0,224597
2024-06-10,3999.287841796875,4051.89990234375,4104.0,3966.0,3999.89990234375,269834
2024-06-11,4072.77099609375,4126.35009765625,4169.60009765625,4055.949951171875,4072.199951171875,372033
2024-06-12,4069.070068359375,4122.60009765625,4147.0498046875,4062.0,4130.0,180890
2024-06-13,4192.49609375,4247.64990234375,4260.4501953125,4123.5498046875,4123.5498046875,368758
2024-06-14,4236.36865234375,4292.10009765625,4309.9501953125,4140.0,4230.10009765625,288391
2024-06-18,4246.23876953125,4302.10009765625,4353.2001953125,4272.0,4292.10009765625,255721
2024-06-19,4161.306640625,4216.0498046875,4302.0,4204.25,4300.0,98830
2024-06-20,4134.26220703125,4188.64990234375,4257.5,4180.0,4239.7998046875,130232
2024-06-21,4278.21875,4334.5,4409.5498046875,4180.0,4180.0,668815
