date_,adj close_bayercrop.ns,close_bayercrop.ns,high_bayercrop.ns,low_bayercrop.ns,open_bayercrop.ns,volume_bayercrop.ns
2024-08-22,6042.73046875,6299.2998046875,6397.7998046875,6235.39990234375,6364.39990234375,126209
2024-08-23,6011.6982421875,6266.9501953125,6333.2998046875,6250.0,6307.35009765625,42011
2024-08-26,6024.84033203125,6280.64990234375,6344.0,6250.0,6303.4501953125,24866
2024-08-27,6120.81494140625,6380.7001953125,6475.5,6245.0,6267.2001953125,34741
2024-08-28,6103.8837890625,6363.0498046875,6460.0,6322.25,6382.0,12705
2024-08-29,6059.326171875,6316.60009765625,6450.4501953125,6300.7998046875,6349.0,97375
2024-08-30,6032.8974609375,6289.0498046875,6377.2998046875,6235.7998046875,6317.2001953125,95863
2024-09-02,6056.87939453125,6314.0498046875,6395.0,6289.0498046875,6322.2001953125,76263
2024-09-03,6108.8720703125,6368.25,6438.0,6350.0,6350.0,21327
2024-09-04,6233.96142578125,6498.64990234375,6559.89990234375,6365.0,6368.2001953125,110801
2024-09-05,6182.25634765625,6444.75,6560.0,6429.14990234375,6560.0,12447
2024-09-06,6077.0244140625,6335.0498046875,6506.4501953125,6315.0,6446.64990234375,10526
2024-09-09,6019.03662109375,6274.60009765625,6343.2001953125,6213.39990234375,6343.2001953125,39945
2024-09-10,6226.33544921875,6490.7001953125,6526.7998046875,6282.75,6282.75,36706
2024-09-11,6227.67822265625,6492.10009765625,6521.9501953125,6465.7001953125,6491.0,19303
2024-09-12,6263.84228515625,6529.7998046875,6550.0,6474.7001953125,6506.35009765625,33879
2024-09-13,6231.32373046875,6495.89990234375,6564.2001953125,6436.5498046875,6564.2001953125,40154
2024-09-16,6234.4892578125,6499.2001953125,6550.0,6472.2998046875,6500.0,9041
2024-09-17,6249.35791015625,6514.7001953125,6540.5,6445.0,6499.0,23578
2024-09-18,6171.5126953125,6433.5498046875,6597.0,6393.0,6470.10009765625,13457
2024-09-19,6138.70556640625,6399.35009765625,6495.7998046875,6308.2001953125,6438.0,15470
2024-09-20,5991.69775390625,6246.10009765625,6424.9501953125,6228.0,6424.9501953125,36358
2024-09-23,5984.0712890625,6238.14990234375,6257.89990234375,6151.0,6250.0,16399
2024-09-24,5953.13525390625,6205.89990234375,6288.64990234375,6155.0,6250.0,21984
2024-09-25,5995.82275390625,6250.39990234375,6259.9501953125,6183.4501953125,6195.0,48148
2024-09-26,6007.4296875,6262.5,6366.0,6193.60009765625,6255.0,72127
2024-09-27,6045.033203125,6301.7001953125,6386.5,6252.0,6270.25,32012
2024-09-30,6150.6484375,6411.7998046875,6435.0,6255.0,6255.0,11198
2024-10-01,6331.18310546875,6600.0,6625.0,6361.14990234375,6445.0,94078
2024-10-03,6232.42626953125,6497.0498046875,6758.85009765625,6406.2001953125,6600.0,108677
2024-10-04,6370.56103515625,6641.0498046875,6698.0,6300.0498046875,6456.7998046875,132122
2024-10-07,6319.14501953125,6587.4501953125,6814.4501953125,6542.14990234375,6740.0,142401
2024-10-08,6366.5322265625,6636.85009765625,6919.60009765625,6566.0498046875,6619.0498046875,145257
2024-10-09,6462.93896484375,6737.35009765625,6898.0,6666.9501953125,6799.0,49753
2024-10-10,6458.046875,6732.25,6848.0,6573.7001953125,6780.0,15226
2024-10-11,6440.396484375,6713.85009765625,6793.2001953125,6685.0,6760.75,13373
2024-10-14,6351.23193359375,6620.89990234375,6764.5,6585.5498046875,6729.9501953125,10063
2024-10-15,6310.31884765625,6578.25,6648.0,6555.0,6614.7001953125,20965
2024-10-16,6506.01025390625,6782.25,6830.0,6495.35009765625,6598.0,86808
2024-10-17,6416.07861328125,6688.5,6912.25,6650.9501953125,6839.9501953125,27203
2024-10-18,6308.208984375,6576.0498046875,6690.0,6500.0,6690.0,12737
2024-10-21,6390.08251953125,6661.39990234375,6698.0,6508.0,6551.0,16861
2024-10-22,6137.17041015625,6397.75,6800.0,6370.2998046875,6690.0,29430
2024-10-23,6088.43994140625,6346.9501953125,6430.4501953125,6253.39990234375,6370.0,23497
2024-10-24,6096.01806640625,6354.85009765625,6400.0,6320.0,6325.0,28955
2024-10-25,6065.51318359375,6323.0498046875,6424.7998046875,6260.10009765625,6329.7001953125,24180
2024-10-28,6195.638671875,6458.7001953125,6549.5498046875,6302.0,6356.2001953125,9462
2024-10-29,6208.5888671875,6472.2001953125,6540.0,6377.7998046875,6460.85009765625,13023
2024-10-30,6109.83154296875,6369.25,6503.89990234375,6350.0,6456.7998046875,19716
2024-10-31,6355.98046875,6625.85009765625,6700.0,6350.10009765625,6369.25,20599
2024-11-01,6383.416015625,6654.4501953125,6710.0,6611.0,6710.0,1517
2024-11-04,6447.78271484375,6721.5498046875,6752.0,6548.60009765625,6720.0,52490
2024-11-05,6489.03125,6764.5498046875,6819.14990234375,6700.0,6720.0,89234
2024-11-06,6434.4482421875,6707.64990234375,6862.25,6652.14990234375,6765.0498046875,16221
2024-11-07,6373.29541015625,6643.89990234375,6730.0,6625.0,6650.0498046875,12041
2024-11-08,6327.72998046875,6596.39990234375,6697.9501953125,6570.0,6643.89990234375,8724
2024-11-11,6127.2421875,6387.39990234375,6631.10009765625,6365.35009765625,6631.10009765625,18554
2024-11-12,6058.126953125,6315.35009765625,6449.0,6295.0,6371.0,10135
2024-11-13,5831.2109375,6078.7998046875,6348.60009765625,6050.0498046875,6282.0,17352
2024-11-14,5652.83544921875,5892.85009765625,6150.0,5875.10009765625,5975.0,39894
2024-11-18,5455.08203125,5686.7001953125,5913.0,5635.0,5800.0498046875,53453
