date_,adj close_ultracemco.ns,close_ultracemco.ns,high_ultracemco.ns,low_ultracemco.ns,open_ultracemco.ns,volume_ultracemco.ns
2024-08-01,11909.0126953125,11984.5,12032.2998046875,11803.5,11887.2001953125,250126
2024-08-02,11690.3984375,11764.5,11949.0,11700.0,11833.0498046875,273420
2024-08-05,11345.3349609375,11417.25,11700.0,11351.2001953125,11700.0,400844
2024-08-06,11253.9638671875,11325.2998046875,11575.7998046875,11272.099609375,11449.9501953125,368949
2024-08-07,11470.4921875,11543.2001953125,11589.9501953125,11430.2001953125,11499.0,230210
2024-08-08,11187.087890625,11258.0,11524.2001953125,11228.75,11500.0,290349
2024-08-09,11229.1708984375,11300.349609375,11449.0,11231.0498046875,11449.0,189230
2024-08-12,11231.6552734375,11302.849609375,11379.7998046875,11211.2001953125,11290.0,200411
2024-08-13,11200.205078125,11271.2001953125,11364.0,11234.650390625,11364.0,189972
2024-08-14,10933.296875,11002.599609375,11200.0,10963.099609375,11200.0,404673
2024-08-16,11224.55078125,11295.7001953125,11325.0,10950.2001953125,11040.0,435631
2024-08-19,11244.0771484375,11315.349609375,11468.099609375,11271.75,11320.0,244264
2024-08-20,11278.2109375,11349.7001953125,11525.0,11277.4501953125,11365.0,421084
2024-08-21,11130.3486328125,11200.900390625,11312.5498046875,11161.5498046875,11274.0,456794
2024-08-22,11238.1650390625,11309.400390625,11377.400390625,11205.0,11260.0,305457
2024-08-23,11270.3603515625,11341.7998046875,11380.0,11204.4501953125,11315.0,258730
2024-08-26,11265.689453125,11337.099609375,11360.9501953125,11271.400390625,11340.0,234215
2024-08-27,11229.1708984375,11300.349609375,11450.0,11286.4501953125,11389.099609375,184428
2024-08-28,11164.0341796875,11234.7998046875,11317.599609375,11211.0,11280.0,201101
2024-08-29,11151.3154296875,11222.0,11256.7001953125,11115.400390625,11230.0,406261
2024-08-30,11230.7119140625,11301.900390625,11360.900390625,11222.0,11225.0498046875,462185
2024-09-02,11352.9375,11424.900390625,11465.0,11325.0,11325.0,248673
2024-09-03,11388.6103515625,11460.7998046875,11504.0498046875,11361.0,11434.5,181723
2024-09-04,11507.5078125,11580.4501953125,11637.4501953125,11381.849609375,11392.0,198185
2024-09-05,11469.9453125,11542.650390625,11822.75,11514.2001953125,11630.4501953125,406821
2024-09-06,11360.8369140625,11432.849609375,11525.0,11320.0,11500.0,245248
2024-09-09,11421.94921875,11494.349609375,11518.4501953125,11308.0,11400.0,154665
2024-09-10,11468.35546875,11541.0498046875,11639.4501953125,11460.5,11539.900390625,237496
2024-09-11,11415.09375,11487.4501953125,11611.0,11460.2001953125,11570.0,141341
2024-09-12,11636.4892578125,11710.25,11735.0,11442.25,11507.849609375,455934
2024-09-13,11644.1416015625,11717.9501953125,11762.599609375,11625.2001953125,11695.0,279660
2024-09-16,11569.3154296875,11642.650390625,11797.9501953125,11604.0,11675.0,257856
2024-09-17,11572.296875,11645.650390625,11718.599609375,11575.0,11602.5498046875,202725
2024-09-18,11557.6396484375,11630.900390625,11763.2998046875,11535.849609375,11683.0,185067
2024-09-19,11554.2607421875,11627.5,11740.150390625,11540.0,11630.900390625,227247
2024-09-20,11723.9853515625,11798.2998046875,11843.900390625,11579.599609375,11660.0,608787
2024-09-23,11886.703125,11962.0498046875,11998.0,11800.0498046875,11835.0,279318
