date_,adj close_crompton.ns,close_crompton.ns,high_crompton.ns,low_crompton.ns,open_crompton.ns,volume_crompton.ns
2024-06-05,395.90380859375,402.25,405.0,371.3999938964844,374.0,5639983
2024-06-06,393.6401062011719,399.95001220703125,408.8500061035156,397.04998779296875,405.79998779296875,4782193
2024-06-07,391.0811462402344,397.3500061035156,406.45001220703125,394.5,404.0,2849110
2024-06-10,405.3031311035156,411.79998779296875,415.6499938964844,395.8999938964844,398.0,7137516
2024-06-11,404.7126159667969,411.20001220703125,419.79998779296875,410.25,415.5,2571903
2024-06-12,415.5390625,422.20001220703125,423.5,408.54998779296875,411.29998779296875,3722848
2024-06-13,418.3440856933594,425.04998779296875,426.3999938964844,418.6000061035156,423.3999938964844,2079757
2024-06-14,419.8204040527344,426.54998779296875,429.0,421.20001220703125,426.0,2452871
2024-06-18,421.8872985839844,428.6499938964844,431.79998779296875,422.25,428.8999938964844,3848024
2024-06-19,417.80279541015625,424.5,436.1000061035156,423.0,430.0,2882216
2024-06-20,422.08416748046875,428.8500061035156,429.8999938964844,421.3999938964844,427.1499938964844,1832711
2024-06-21,419.771240234375,426.5,436.5,422.79998779296875,427.0,4837219
2024-06-24,424.2494201660156,431.04998779296875,433.5,414.5,423.6000061035156,3072536
2024-06-25,423.3144226074219,430.1000061035156,433.8500061035156,427.45001220703125,432.79998779296875,1819355
2024-06-26,421.78887939453125,428.54998779296875,431.1499938964844,419.8500061035156,428.0,3267799
2024-06-27,410.96240234375,417.54998779296875,428.54998779296875,415.1499938964844,428.54998779296875,3684088
2024-06-28,398.9056701660156,405.29998779296875,419.8500061035156,404.25,417.54998779296875,5444991
2024-07-01,409.92901611328125,416.5,417.6499938964844,403.95001220703125,405.29998779296875,4066325
2024-07-02,406.2381591796875,412.75,418.95001220703125,410.0,418.70001220703125,2053744
2024-07-03,404.7126159667969,411.20001220703125,417.1499938964844,408.75,413.1499938964844,968651
2024-07-04,402.1536560058594,408.6000061035156,412.1000061035156,408.04998779296875,411.20001220703125,956124
2024-07-05,403.2362976074219,409.70001220703125,415.75,407.04998779296875,408.3999938964844,3302341
2024-07-08,413.96429443359375,420.6000061035156,423.45001220703125,409.5,410.0,2231484
2024-07-09,420.903076171875,427.6499938964844,441.95001220703125,422.5,422.5,9686914
2024-07-10,419.31719970703125,423.04998779296875,430.1000061035156,415.25,426.5,1758195
2024-07-11,419.66412353515625,423.3999938964844,425.0,416.0,423.25,2679924
2024-07-12,427.9404602050781,431.75,437.95001220703125,424.95001220703125,426.5,7155994
2024-07-15,427.7421875,431.54998779296875,434.25,428.5,433.45001220703125,928230
2024-07-16,427.4448547363281,431.25,436.04998779296875,427.6499938964844,432.8500061035156,5233597
2024-07-18,427.9404602050781,431.75,432.54998779296875,416.0,432.45001220703125,4799194
2024-07-19,424.1244201660156,427.8999938964844,436.95001220703125,422.0,434.0,4257649
2024-07-22,429.8732604980469,433.70001220703125,435.0,419.8999938964844,422.1000061035156,2385382
2024-07-23,426.50323486328125,430.29998779296875,439.1499938964844,419.6499938964844,439.1499938964844,3537173
2024-07-24,439.0911865234375,443.0,445.0,426.04998779296875,429.04998779296875,7102712
2024-07-25,443.1549987792969,447.1000061035156,450.45001220703125,435.0,440.54998779296875,10566397
2024-07-26,438.6947326660156,442.6000061035156,451.1000061035156,436.75,450.0,6837627
2024-07-29,428.386474609375,432.20001220703125,448.5,427.1000061035156,444.8999938964844,9118472
2024-07-30,441.51959228515625,445.45001220703125,460.8999938964844,432.6000061035156,432.95001220703125,13017966
2024-07-31,447.41705322265625,451.3999938964844,456.45001220703125,439.6000061035156,449.1499938964844,9064095
2024-08-01,447.07012939453125,451.04998779296875,470.70001220703125,448.29998779296875,455.6000061035156,8497145
2024-08-02,433.68927001953125,437.54998779296875,452.1499938964844,436.5,450.0,1544041
2024-08-05,424.7191162109375,428.5,434.79998779296875,420.3999938964844,427.04998779296875,3271673
2024-08-06,412.82501220703125,416.5,436.20001220703125,415.04998779296875,430.0,2452416
2024-08-07,431.1617736816406,435.0,437.3999938964844,420.1000061035156,421.54998779296875,3013975
2024-08-08,429.72454833984375,433.54998779296875,440.25,428.04998779296875,437.8999938964844,2103583
2024-08-09,431.1122131347656,434.95001220703125,440.0,434.0,438.29998779296875,2003404
2024-08-12,427.6926574707031,431.5,436.45001220703125,428.70001220703125,434.95001220703125,1872135
2024-08-13,432.4007568359375,436.25,443.1499938964844,428.0,433.45001220703125,2755107
2024-08-14,424.7686767578125,428.54998779296875,440.0,425.29998779296875,438.29998779296875,1344542
2024-08-16,436.4150085449219,440.29998779296875,442.0,429.04998779296875,429.04998779296875,2956706
2024-08-19,449.59765625,453.6000061035156,455.29998779296875,442.6499938964844,446.0,4102713
2024-08-20,449.548095703125,453.54998779296875,460.0,445.04998779296875,455.0,5884964
2024-08-21,463.87060546875,468.0,468.75,451.1499938964844,454.5,5377621
2024-08-22,458.17132568359375,462.25,479.3500061035156,460.6499938964844,469.95001220703125,6212259
2024-08-23,455.5447082519531,459.6000061035156,471.3999938964844,458.5,464.3500061035156,3398088
2024-08-26,463.622802734375,467.75,470.54998779296875,460.1499938964844,460.5,2244381
2024-08-27,465.30780029296875,469.45001220703125,471.0,464.54998779296875,468.0,2188766
2024-08-28,458.7164611816406,462.79998779296875,471.6000061035156,457.1000061035156,469.54998779296875,2200386
2024-08-29,460.8970642089844,465.0,466.8999938964844,456.29998779296875,462.79998779296875,1956008
2024-08-30,472.8407287597656,477.04998779296875,481.0,465.70001220703125,470.75,3740760
2024-09-02,460.7483825683594,464.8500061035156,484.0,462.75,481.0,1851817
2024-09-03,465.45648193359375,469.6000061035156,477.5,464.5,468.95001220703125,1992487
2024-09-04,462.4333801269531,466.54998779296875,473.5,460.79998779296875,463.0,1321187
2024-09-05,463.622802734375,467.75,474.75,465.6000061035156,470.0,3114100
