date_,adj close_m&m.ns,close_m&m.ns,high_m&m.ns,low_m&m.ns,open_m&m.ns,volume_m&m.ns
2024-05-31,2468.202880859375,2506.25,2569.199951171875,2495.14990234375,2517.75,8769724
2024-06-03,2594.01318359375,2634.0,2654.35009765625,2570.39990234375,2575.050048828125,2701157
2024-06-04,2533.8408203125,2572.89990234375,2639.0,2448.199951171875,2634.25,6372249
2024-06-05,2699.33984375,2740.949951171875,2753.699951171875,2571.800048828125,2572.89990234375,4242881
2024-06-06,2658.86376953125,2699.85009765625,2761.89990234375,2670.89990234375,2745.0,4992660
2024-06-07,2814.0712890625,2857.449951171875,2867.60009765625,2668.35009765625,2668.35009765625,6447821
2024-06-10,2764.9287109375,2807.550048828125,2886.0,2800.0,2861.0,2021106
2024-06-11,2792.503662109375,2835.550048828125,2855.0,2813.39990234375,2821.0,2298974
2024-06-12,2745.232421875,2787.550048828125,2848.60009765625,2782.050048828125,2835.550048828125,2580846
2024-06-13,2818.256591796875,2861.699951171875,2879.10009765625,2788.64990234375,2850.0,2492637
2024-06-14,2884.14111328125,2928.60009765625,2946.0,2865.0,2875.0,3515019
2024-06-18,2916.935546875,2961.89990234375,3013.5,2956.64990234375,2965.0,4887512
2024-06-19,2889.3115234375,2933.85009765625,2977.0,2926.449951171875,2975.0,3512298
2024-06-20,2827.612548828125,2871.199951171875,2954.75,2857.300048828125,2945.050048828125,4024418
2024-06-21,2796.8369140625,2839.949951171875,2920.89990234375,2825.050048828125,2884.75,8400461
2024-06-24,2871.535400390625,2915.800048828125,2923.949951171875,2813.050048828125,2836.5,2699784
2024-06-25,2865.232421875,2909.39990234375,2947.0,2891.050048828125,2921.199951171875,1910886
2024-06-26,2808.21142578125,2851.5,2912.949951171875,2844.60009765625,2907.050048828125,3282318
2024-06-27,2845.0927734375,2888.949951171875,2905.0,2793.050048828125,2842.0,6900180
2024-06-28,2823.13134765625,2866.64990234375,2896.0,2855.0,2855.0,2548169
2024-07-01,2832.19189453125,2875.85009765625,2894.050048828125,2838.25,2841.0,1718501
2024-07-02,2821.654052734375,2865.14990234375,2891.0,2850.0,2890.199951171875,1507890
2024-07-03,2834.260009765625,2877.949951171875,2895.0,2865.10009765625,2871.0,1019710
2024-07-04,2858.732666015625,2902.800048828125,2922.0,2885.050048828125,2890.0,1502213
2024-07-05,2857.6416015625,2880.60009765625,2886.0,2840.0,2886.0,1966103
2024-07-08,2828.624755859375,2851.35009765625,2918.60009765625,2847.5,2880.60009765625,1631998
2024-07-09,2902.18359375,2925.5,2940.0,2837.25,2855.35009765625,2902129
