date_,adj close_abbotindia.ns,close_abbotindia.ns,high_abbotindia.ns,low_abbotindia.ns,open_abbotindia.ns,volume_abbotindia.ns
2024-05-27,25515.1171875,26244.150390625,26555.0,26055.0,26480.0,10065
2024-05-28,25212.123046875,25932.5,26323.650390625,25840.099609375,26246.69921875,6200
2024-05-29,25442.103515625,26169.05078125,26373.0,25717.900390625,25932.5,14961
2024-05-30,25268.998046875,25991.0,26251.0,25802.25,26200.05078125,13396
2024-05-31,25168.6171875,25887.75,26038.19921875,25751.0,26000.05078125,14492
2024-06-03,25221.01953125,25941.650390625,26300.0,25801.349609375,26000.0,16412
2024-06-04,25561.880859375,26292.25,26360.0,25588.55078125,25950.0,31555
2024-06-05,26709.974609375,27473.150390625,27999.900390625,26297.349609375,26360.0,31202
2024-06-06,26248.8046875,26998.80078125,27686.599609375,26882.0,27500.0,15980
2024-06-07,26731.025390625,27494.80078125,27615.44921875,27050.0,27083.650390625,21939
2024-06-10,27160.017578125,27936.05078125,28029.900390625,27500.05078125,27554.80078125,23001
2024-06-11,27202.357421875,27979.599609375,28341.0,27797.0,27936.099609375,21694
2024-06-12,26794.21875,27559.80078125,28450.0,27475.0,28102.05078125,18728
2024-06-13,26849.537109375,27616.69921875,27712.5,27503.55078125,27682.900390625,5056
2024-06-14,26701.955078125,27464.900390625,27777.94921875,27320.44921875,27700.0,10397
2024-06-18,26442.517578125,27198.05078125,27454.75,27115.650390625,27350.0,8759
2024-06-19,26162.275390625,26909.80078125,27274.94921875,26850.0,27274.94921875,10863
2024-06-20,26157.94921875,26905.349609375,26950.0,26774.5,26909.75,6370
2024-06-21,26104.9140625,26850.80078125,27437.5,26780.0,26999.0,17463
2024-06-24,26089.017578125,26834.44921875,26879.94921875,26601.0,26750.0,8029
2024-06-25,26109.58203125,26855.599609375,27011.650390625,26626.44921875,26950.0,26356
2024-06-26,26871.75390625,27639.55078125,27775.5,26855.650390625,26855.650390625,27461
2024-06-27,26616.93359375,27377.44921875,27866.0,27220.099609375,27720.94921875,39732
2024-06-28,26856.732421875,27624.099609375,27948.94921875,27378.05078125,27378.05078125,11850
2024-07-01,26857.462890625,27624.849609375,27782.150390625,27529.55078125,27782.099609375,6103
2024-07-02,26847.7890625,27614.900390625,28099.0,27561.94921875,27817.25,19615
2024-07-03,26831.50390625,27598.150390625,27839.349609375,27479.400390625,27700.0,5417
2024-07-04,27127.25390625,27902.349609375,28127.94921875,27549.30078125,27800.0,10482
2024-07-05,27050.544921875,27823.44921875,27997.150390625,27706.05078125,27986.900390625,8337
2024-07-08,27146.064453125,27921.69921875,28099.5,27579.099609375,28099.5,6982
2024-07-09,27549.68359375,28336.849609375,28449.900390625,27860.599609375,27860.599609375,13849
2024-07-10,27301.962890625,28082.05078125,28545.900390625,27860.19921875,28449.0,6942
2024-07-11,27059.05078125,27832.19921875,28199.94921875,27784.94921875,28170.19921875,5166
2024-07-12,26709.5390625,27472.69921875,27899.80078125,27342.5,27800.05078125,40052
2024-07-15,27802.4140625,28596.80078125,28750.0,27616.0,27900.0,30368
2024-07-16,27794.92578125,28589.099609375,28775.80078125,28374.69921875,28596.80078125,12443
