date_,adj close_ofss.ns,close_ofss.ns,high_ofss.ns,low_ofss.ns,open_ofss.ns,volume_ofss.ns
2024-04-22,6973.212890625,7538.5,7680.85009765625,7333.0,7660.0,377745
2024-04-23,6795.84130859375,7346.75,7641.9501953125,7320.0,7620.0,423409
2024-04-24,6806.9873046875,7358.7998046875,7499.0,7339.2998046875,7381.89990234375,334626
2024-04-25,6607.416015625,7143.0498046875,7578.5,7111.0,7151.2998046875,1100513
2024-04-26,6928.90478515625,7490.60009765625,7525.0,7140.0,7150.0,771387
2024-04-29,6892.87548828125,7451.64990234375,7590.0,7380.0,7590.0,252212
2024-04-30,7028.85205078125,7598.64990234375,7659.2998046875,7402.14990234375,7500.9501953125,424873
2024-05-02,7178.333984375,7760.25,7775.0,7595.0498046875,7615.0,301938
2024-05-03,7197.2509765625,7780.7001953125,7844.0,7710.0,7844.0,339722
2024-05-06,7271.06689453125,7860.5,7907.0,7801.0,7870.0,314006
2024-05-07,7316.05517578125,7667.64990234375,7805.0,7560.2001953125,7725.0,381686
2024-05-08,7292.296875,7642.75,7732.35009765625,7620.0,7625.0498046875,135120
2024-05-09,7213.484375,7560.14990234375,7700.0,7540.14990234375,7642.75,145232
2024-05-10,7233.1396484375,7580.75,7608.4501953125,7434.0,7570.0,119050
2024-05-13,7396.34619140625,7751.7998046875,7763.9501953125,7517.14990234375,7580.0,136013
2024-05-14,7470.626953125,7829.64990234375,7870.0,7666.0498046875,7784.64990234375,136326
2024-05-15,7423.58740234375,7780.35009765625,7964.9501953125,7756.5,7849.85009765625,115498
2024-05-16,7529.87890625,7891.75,7984.0,7770.89990234375,7779.9501953125,154700
2024-05-17,7428.97802734375,7786.0,7913.7001953125,7770.0,7894.9501953125,97219
2024-05-21,7317.67724609375,7669.35009765625,7827.0,7649.9501953125,7825.0,69252
2024-05-22,7302.8876953125,7653.85009765625,7755.9501953125,7609.0,7669.9501953125,90367
2024-05-23,7277.84130859375,7627.60009765625,7700.10009765625,7605.0,7655.0,91772
2024-05-24,7196.54833984375,7542.39990234375,7675.9501953125,7531.0,7627.60009765625,73891
2024-05-27,7249.16943359375,7597.5498046875,7690.0,7475.0,7584.64990234375,112088
2024-05-28,7209.76318359375,7556.25,7629.89990234375,7525.25,7574.89990234375,65923
2024-05-29,7206.56689453125,7552.89990234375,7582.60009765625,7500.25,7506.25,116498
2024-05-30,7081.14453125,7421.4501953125,7565.4501953125,7382.0,7549.7001953125,218846
2024-05-31,7113.1083984375,7454.9501953125,7497.0,7368.0498046875,7450.0,162147
2024-06-03,7216.48974609375,7563.2998046875,7621.9501953125,7425.75,7526.0,88251
2024-06-04,6956.43798828125,7290.75,7580.0,7022.5498046875,7580.0,279924
2024-06-05,7374.63916015625,7729.0498046875,7807.9501953125,7290.75,7321.0,165910
2024-06-06,7797.13525390625,8171.85009765625,8199.0,7742.4501953125,7749.85009765625,312109
2024-06-07,8020.83447265625,8406.2998046875,8507.650390625,8199.0,8200.0,319142
2024-06-10,8020.787109375,8406.25,8474.400390625,8137.0,8310.099609375,184342
2024-06-11,8051.31982421875,8438.25,8539.0,8367.5498046875,8400.0,118275
2024-06-12,8341.9521484375,8742.849609375,8935.0,8624.9501953125,8624.9501953125,639358
2024-06-13,9215.1396484375,9658.0,9760.0,8802.0,8835.0,2375475
2024-06-14,9074.5927734375,9510.7001953125,9793.5,9445.400390625,9658.0,770138
2024-06-18,9199.728515625,9641.849609375,9879.0,9522.25,9550.0,623177
2024-06-19,9382.447265625,9833.349609375,9975.0,9533.650390625,9695.0,602326
2024-06-20,9289.37109375,9735.7998046875,9925.0,9701.0,9830.099609375,239347
2024-06-21,9292.330078125,9738.900390625,9965.2998046875,9690.0498046875,9815.2998046875,301582
2024-06-24,9333.5,9782.0498046875,9810.4501953125,9605.0,9660.0498046875,178150
2024-06-25,9281.0224609375,9727.0498046875,9819.4501953125,9692.849609375,9782.099609375,122156
2024-06-26,9056.845703125,9492.099609375,9770.400390625,9460.599609375,9770.0,177017
2024-06-27,9402.9150390625,9854.7998046875,9909.2001953125,9449.0,9476.0,501309
2024-06-28,9429.1064453125,9882.25,10050.0,9688.5,9875.0,498811
2024-07-01,9726.7998046875,10194.25,10420.0,9890.150390625,9905.2001953125,883013
2024-07-02,9765.3955078125,10234.7001953125,10342.7998046875,10082.0,10261.0,236562
2024-07-03,9952.931640625,10431.25,10448.7001953125,10231.0,10250.099609375,220559
2024-07-04,9958.1796875,10436.75,10529.9501953125,10375.0,10431.25,220337
2024-07-05,9947.3984375,10425.4501953125,10488.0,10370.0498046875,10488.0,85779
2024-07-08,9885.2822265625,10360.349609375,10500.0,10320.849609375,10478.900390625,83115
2024-07-09,9893.44140625,10368.900390625,10424.9501953125,10233.0,10386.0,100783
2024-07-10,9780.470703125,10250.5,10373.5498046875,10051.0,10300.0,174464
2024-07-11,9686.439453125,10151.9501953125,10350.0,10032.349609375,10340.0,154221
2024-07-12,10072.7724609375,10556.849609375,10709.9501953125,10128.2001953125,10290.0,485528
2024-07-15,10421.89453125,10922.75,11169.2001953125,10582.5,10691.9501953125,813652
2024-07-16,10583.9560546875,11092.599609375,11240.0,10925.0,10950.0,504778
2024-07-18,10440.21484375,10941.9501953125,11204.2001953125,10827.349609375,11044.0498046875,486345
2024-07-19,10326.0498046875,10822.2998046875,11225.0,10699.599609375,11220.0,552895
2024-07-22,10308.6376953125,10804.0498046875,11055.0,10616.0,10700.0,249350
2024-07-23,10486.4912109375,10990.4501953125,11065.4501953125,10370.0,10849.9501953125,270163
2024-07-24,10599.0322265625,11108.400390625,11395.9501953125,11001.0,11039.0,541750
2024-07-25,10575.845703125,11084.099609375,11370.0,10720.400390625,10800.0,807903
2024-07-26,10584.9580078125,11093.650390625,11320.0,11051.0,11200.0,341053
2024-07-29,10776.55078125,11294.4501953125,11443.599609375,11097.5,11203.650390625,386712
2024-07-30,10595.5966796875,11104.7998046875,11300.0,11065.0,11300.0,141253
2024-07-31,10538.3955078125,11044.849609375,11202.099609375,10942.0,11112.0,221107
2024-08-01,10410.587890625,10910.900390625,11222.9501953125,10802.5498046875,11180.2001953125,237189
2024-08-02,9913.19140625,10389.599609375,10848.599609375,10328.2998046875,10800.7998046875,245538
2024-08-05,9429.439453125,9882.599609375,10227.4501953125,9605.0498046875,9910.650390625,318616
2024-08-06,9349.912109375,9799.25,10276.75,9758.7998046875,10144.7998046875,192285
