date_,adj close_pcbl.ns,close_pcbl.ns,high_pcbl.ns,low_pcbl.ns,open_pcbl.ns,volume_pcbl.ns
2024-04-09,271.04156494140625,279.79998779296875,283.0,275.3500061035156,275.8999938964844,1760337
2024-04-10,270.16973876953125,278.8999938964844,282.0,275.3999938964844,279.79998779296875,1632382
2024-04-12,264.93878173828125,273.5,279.5,273.0,276.0,1285092
2024-04-15,257.23760986328125,265.54998779296875,270.0,257.3500061035156,265.0,2220899
2024-04-16,257.23760986328125,265.54998779296875,270.29998779296875,260.6000061035156,261.0,999491
2024-04-18,252.0066680908203,260.1499938964844,269.70001220703125,258.54998779296875,264.95001220703125,1216761
2024-04-19,249.488037109375,257.54998779296875,260.79998779296875,251.8000030517578,255.0,1371749
2024-04-22,255.5424041748047,263.79998779296875,265.25,260.0,260.0,804888
2024-04-23,258.40008544921875,266.75,269.95001220703125,261.0,265.5,1389328
2024-04-24,256.8017272949219,265.1000061035156,269.25,264.0,267.0,810697
2024-04-25,258.206298828125,266.54998779296875,270.0,264.0,265.1000061035156,1304001
2024-04-26,260.2406005859375,268.6499938964844,270.5,265.1000061035156,267.8999938964844,1264833
2024-04-29,268.3292236328125,277.0,285.0,269.04998779296875,269.45001220703125,6083209
2024-04-30,262.177978515625,270.6499938964844,279.25,268.0,278.45001220703125,1328367
2024-05-02,260.77337646484375,269.20001220703125,273.29998779296875,266.5,270.8999938964844,1312582
2024-05-03,255.97833251953125,264.25,271.3999938964844,263.70001220703125,269.20001220703125,1225877
2024-05-06,255.0096435546875,263.25,271.1000061035156,258.95001220703125,266.0,1448994
2024-05-07,246.485107421875,254.4499969482422,264.0,251.8000030517578,263.0,1522331
2024-05-08,253.94406127929688,262.1499938964844,263.95001220703125,252.85000610351562,254.0,1343263
2024-05-09,243.67587280273438,251.5500030517578,262.54998779296875,250.0,262.1499938964844,2022943
2024-05-10,244.54769897460938,252.4499969482422,254.6999969482422,244.39999389648438,252.0,942702
2024-05-13,240.9150848388672,248.6999969482422,253.89999389648438,243.60000610351562,253.85000610351562,900059
2024-05-14,247.88970947265625,255.89999389648438,257.8500061035156,247.39999389648438,248.6999969482422,1484256
2024-05-15,248.3256378173828,256.3500061035156,262.5,255.10000610351562,258.0,1079461
2024-05-16,253.94406127929688,262.1499938964844,265.25,258.0,258.8999938964844,1449457
2024-05-17,259.51409912109375,267.8999938964844,269.54998779296875,261.29998779296875,263.20001220703125,1148558
2024-05-21,255.687744140625,263.95001220703125,269.45001220703125,261.8500061035156,268.8999938964844,969514
2024-05-22,256.4626770019531,264.75,266.79998779296875,256.5,263.79998779296875,1493851
2024-05-23,251.28013610839844,259.3999938964844,270.5,257.70001220703125,266.3999938964844,3039060
2024-05-24,243.8211669921875,251.6999969482422,258.8999938964844,251.39999389648438,255.9499969482422,2048112
2024-05-27,239.026123046875,246.75,253.60000610351562,245.60000610351562,251.10000610351562,1695102
2024-05-28,242.12596130371094,249.9499969482422,251.14999389648438,240.64999389648438,247.8000030517578,2177196
2024-05-29,235.34507751464844,242.9499969482422,249.0,241.5500030517578,249.0,1755570
2024-05-30,230.74375915527344,238.1999969482422,244.8000030517578,235.35000610351562,242.5,1467551
2024-05-31,227.40176391601562,234.75,244.0500030517578,231.10000610351562,240.64999389648438,2650793
2024-06-03,226.9174041748047,234.25,240.9499969482422,230.0,239.5,3507618
2024-06-04,209.1417999267578,215.89999389648438,235.5,209.0,235.0,3237505
2024-06-05,216.6976318359375,223.6999969482422,226.8000030517578,209.10000610351562,220.5,2065777
2024-06-06,223.96287536621094,231.1999969482422,236.4499969482422,227.0500030517578,229.60000610351562,2300057
2024-06-07,228.37045288085938,235.75,236.5,230.0500030517578,233.0,1762399
2024-06-10,236.63343811035156,244.27999877929688,249.75,237.0,239.0,2794298
2024-06-11,238.81300354003906,246.52999877929688,248.8000030517578,241.69000244140625,245.8000030517578,1445208
2024-06-12,236.37188720703125,244.00999450683594,248.5,242.91000366210938,248.0,1174077
2024-06-13,240.69229125976562,248.47000122070312,251.0,243.0399932861328,246.77999877929688,2138672
2024-06-14,242.2228240966797,250.0500030517578,252.35000610351562,246.5,249.3000030517578,1679306
2024-06-18,244.61550903320312,252.52000427246094,255.0500030517578,249.10000610351562,253.0,2067963
2024-06-19,245.7876434326172,253.72999572753906,258.0,249.64999389648438,253.86000061035156,2553392
2024-06-20,252.0551300048828,260.20001220703125,261.8500061035156,250.0500030517578,252.0,3100585
2024-06-21,257.8673095703125,266.20001220703125,269.989990234375,256.04998779296875,261.45001220703125,4800825
