date_,adj close_hindcopper.ns,close_hindcopper.ns,high_hindcopper.ns,low_hindcopper.ns,open_hindcopper.ns,volume_hindcopper.ns
2024-06-10,333.9607238769531,336.6499938964844,341.0,335.1000061035156,340.0,5430581
2024-06-11,327.1654052734375,329.79998779296875,345.29998779296875,328.25,337.0,10963290
2024-06-12,332.7206726074219,335.3999938964844,337.45001220703125,329.1000061035156,329.5,5202379
2024-06-13,333.2167053222656,335.8999938964844,338.79998779296875,331.3999938964844,337.0,3797084
2024-06-14,334.2087097167969,336.8999938964844,341.6000061035156,333.20001220703125,336.0,4342044
2024-06-18,330.290283203125,332.95001220703125,338.6499938964844,331.8999938964844,336.1000061035156,4235765
2024-06-19,324.18939208984375,326.79998779296875,337.0,325.3999938964844,333.3500061035156,5175648
2024-06-20,331.1830749511719,333.8500061035156,338.0,322.75,327.0,6621282
2024-06-21,328.4550476074219,331.1000061035156,336.8500061035156,330.04998779296875,335.0,3982390
2024-06-24,329.34783935546875,332.0,332.79998779296875,322.6499938964844,324.75,7153557
2024-06-25,326.91741943359375,329.54998779296875,343.79998779296875,328.0,335.0,12994795
2024-06-26,320.2709655761719,322.8500061035156,331.6000061035156,322.04998779296875,330.0,5586698
2024-06-27,317.0965270996094,319.6499938964844,327.0,313.79998779296875,323.0,7253387
2024-06-28,316.15411376953125,318.70001220703125,325.54998779296875,318.0,319.6499938964844,6388899
2024-07-01,319.62615966796875,322.20001220703125,325.79998779296875,319.20001220703125,320.0,5551602
2024-07-02,315.0133056640625,317.54998779296875,327.3999938964844,315.6000061035156,323.5,7730054
2024-07-03,322.70135498046875,325.29998779296875,327.54998779296875,322.3500061035156,323.0,8561995
2024-07-04,323.89178466796875,326.5,328.8999938964844,325.0,328.0,4884103
2024-07-05,328.1574401855469,330.79998779296875,331.70001220703125,322.79998779296875,327.0,6216734
2024-07-08,339.5159606933594,342.25,343.75,331.1499938964844,333.5,14693579
2024-07-09,344.8232421875,347.6000061035156,348.79998779296875,341.54998779296875,345.3500061035156,14511825
2024-07-10,331.28228759765625,333.95001220703125,347.8999938964844,324.20001220703125,347.8999938964844,14441088
2024-07-11,331.13348388671875,333.79998779296875,339.79998779296875,332.3999938964844,337.5,4854382
2024-07-12,327.6118469238281,330.25,335.5,328.5,334.0,4458195
2024-07-15,328.9510498046875,331.6000061035156,336.45001220703125,327.6499938964844,331.0,3941525
2024-07-16,326.4214172363281,329.04998779296875,335.0,328.1000061035156,331.6499938964844,2662124
2024-07-18,317.6421203613281,320.20001220703125,328.3999938964844,317.95001220703125,328.3999938964844,3983681
2024-07-19,305.3411560058594,307.79998779296875,317.8999938964844,306.70001220703125,317.8999938964844,5548551
2024-07-22,319.77496337890625,322.3500061035156,324.70001220703125,301.6000061035156,304.79998779296875,9508278
2024-07-23,310.2516174316406,312.75,323.3500061035156,302.6499938964844,321.8999938964844,11044851
2024-07-24,308.3668212890625,310.8500061035156,316.0,308.6499938964844,310.20001220703125,3699538
2024-07-25,306.4324035644531,308.8999938964844,310.3500061035156,305.6499938964844,306.0,3728928
2024-07-26,312.8804626464844,315.3999938964844,317.8999938964844,309.95001220703125,310.0,3964899
2024-07-29,313.2772521972656,315.79998779296875,321.0,314.75,318.29998779296875,3145736
2024-07-30,315.7572937011719,318.29998779296875,321.45001220703125,313.70001220703125,315.79998779296875,3831964
2024-07-31,319.03094482421875,321.6000061035156,325.3999938964844,319.1499938964844,319.1499938964844,3814938
2024-08-01,316.9477233886719,319.5,329.70001220703125,317.25,326.0,6419350
2024-08-02,307.6723937988281,310.1499938964844,315.54998779296875,308.20001220703125,312.3500061035156,5220719
2024-08-05,287.03857421875,289.3500061035156,303.95001220703125,287.1000061035156,300.0,9200604
2024-08-06,281.38409423828125,283.6499938964844,297.0,282.1000061035156,295.0,5590600
2024-08-07,293.8338317871094,296.20001220703125,297.5,285.6000061035156,289.3999938964844,3860469
2024-08-08,293.08984375,295.45001220703125,302.6499938964844,291.5,296.0,3603263
2024-08-09,300.7283020019531,303.1499938964844,306.5,299.54998779296875,300.0,4487901
2024-08-12,300.33154296875,302.75,305.75,298.0,301.0,2861453
2024-08-13,310.4500732421875,312.95001220703125,319.5,308.25,313.95001220703125,20951815
2024-08-14,296.2642822265625,298.6499938964844,317.29998779296875,295.1000061035156,315.20001220703125,17143764
2024-08-16,311.4420471191406,313.95001220703125,315.5,298.5,306.0,14292228
2024-08-19,321.0645446777344,323.6499938964844,325.54998779296875,315.0,315.0,15467529
2024-08-20,316.1044921875,318.6499938964844,328.1000061035156,317.3999938964844,326.29998779296875,6166770
2024-08-21,314.4676818847656,317.0,320.8999938964844,315.25,318.0,3062167
2024-08-22,316.0052795410156,318.54998779296875,320.79998779296875,314.5,317.0,4785503
2024-08-23,313.77325439453125,316.29998779296875,320.3999938964844,311.0,318.29998779296875,3649240
2024-08-26,327.0166015625,329.6499938964844,331.29998779296875,318.0,318.45001220703125,14885334
2024-08-27,327.1158447265625,329.75,336.79998779296875,328.95001220703125,332.0,20065763
2024-08-28,326.0246276855469,328.6499938964844,332.45001220703125,326.1000061035156,328.0,6307966
2024-08-29,325.9750061035156,328.6000061035156,330.6000061035156,319.1000061035156,328.5,12023825
2024-08-30,329.8934326171875,332.54998779296875,335.8500061035156,325.1499938964844,329.0,16037347
2024-09-02,318.0885314941406,320.6499938964844,331.0,320.0,330.0,5755825
2024-09-03,315.9556884765625,318.5,322.04998779296875,317.25,320.0,2178217
2024-09-04,310.2516174316406,312.75,317.3500061035156,311.29998779296875,314.3500061035156,2993774
2024-09-05,312.9796447753906,315.5,317.5,309.0,313.5,4268131
2024-09-06,309.35882568359375,311.8500061035156,316.1000061035156,306.1000061035156,315.6000061035156,3729742
2024-09-09,306.48199462890625,308.95001220703125,310.3500061035156,301.04998779296875,306.0,4369700
2024-09-10,310.5988464355469,313.1000061035156,316.6000061035156,311.0,311.0,3180344
2024-09-11,304.5475769042969,307.0,314.25,306.3500061035156,314.0,2181485
2024-09-12,311.7892150878906,314.29998779296875,315.1000061035156,308.5,309.45001220703125,3224754
2024-09-13,312.38446044921875,314.8999938964844,320.29998779296875,313.5,316.20001220703125,3671164
2024-09-16,320.3701477050781,322.95001220703125,327.5,313.04998779296875,316.1000061035156,7092011
2024-09-17,315.8564758300781,318.3999938964844,324.8999938964844,317.3999938964844,324.0,2709883
2024-09-18,317.69171142578125,320.25,321.5,315.1499938964844,319.0,3410936
2024-09-19,322.437255859375,324.1000061035156,327.0,311.3999938964844,323.5,10915727
2024-09-20,328.1080017089844,329.79998779296875,331.29998779296875,323.6499938964844,326.3500061035156,10243702
2024-09-23,329.00341796875,330.70001220703125,334.1000061035156,328.0,331.8500061035156,4787749
2024-09-24,340.09619140625,341.8500061035156,343.0,332.79998779296875,334.5,19664543
2024-09-25,338.50439453125,340.25,347.20001220703125,338.3500061035156,346.0,8173719
2024-09-26,341.9864501953125,343.75,345.25,332.75,341.5,12072437
2024-09-27,342.73260498046875,344.5,352.29998779296875,343.0,347.3999938964844,16093723
2024-09-30,342.13568115234375,343.8999938964844,352.79998779296875,340.54998779296875,349.0,10972122
2024-10-01,347.3089904785156,349.1000061035156,353.0,337.20001220703125,343.70001220703125,7394842
2024-10-03,336.0172119140625,337.75,351.25,335.1000061035156,345.0,6235804
2024-10-04,328.6551818847656,330.3500061035156,337.70001220703125,323.29998779296875,335.0,5696244
2024-10-07,310.00140380859375,311.6000061035156,331.3999938964844,308.0,330.3500061035156,7511266
2024-10-08,312.6875305175781,314.29998779296875,320.3999938964844,304.29998779296875,309.8999938964844,4007213
2024-10-09,311.8916320800781,313.5,319.25,312.3999938964844,315.0,2018877
2024-10-10,310.5485534667969,312.1499938964844,319.20001220703125,311.1000061035156,315.0,2184501
2024-10-11,314.2295837402344,315.8500061035156,320.95001220703125,310.70001220703125,314.0,2796754
2024-10-14,323.58135986328125,325.25,333.3500061035156,310.6000061035156,318.0,6015938
2024-10-15,319.253662109375,320.8999938964844,325.45001220703125,316.8999938964844,325.0,2505037
2024-10-16,320.24853515625,321.8999938964844,327.3999938964844,316.20001220703125,320.0,3986771
2024-10-17,315.5726623535156,317.20001220703125,322.04998779296875,312.6499938964844,321.5,2882624
2024-10-18,321.3428955078125,323.0,326.5,306.8999938964844,313.0,5327489
2024-10-21,315.0752258300781,316.70001220703125,325.0,313.8500061035156,322.04998779296875,2881120
2024-10-22,293.5362854003906,295.04998779296875,316.3500061035156,285.1000061035156,314.3999938964844,5622805
2024-10-23,290.85015869140625,292.3500061035156,297.0,286.20001220703125,292.5,7845089
2024-10-24,289.25836181640625,290.75,295.5,286.20001220703125,292.0,3667963
2024-10-25,270.3558349609375,271.75,291.6000061035156,269.0,291.6000061035156,8562532
2024-10-28,288.46246337890625,289.95001220703125,292.8999938964844,269.29998779296875,274.70001220703125,10524921
2024-10-29,288.9101257324219,290.3999938964844,292.0,281.25,288.0,4149065
2024-10-30,290.2034912109375,291.70001220703125,296.70001220703125,287.1000061035156,289.95001220703125,5243314
2024-10-31,292.690673828125,294.20001220703125,295.0,286.5,290.0,4191728
2024-11-01,292.8398742675781,294.3500061035156,297.79998779296875,293.0,295.0,1148722
2024-11-04,289.9049987792969,291.3999938964844,295.8999938964844,286.20001220703125,294.95001220703125,5734684
2024-11-05,297.018310546875,298.54998779296875,300.8999938964844,288.20001220703125,290.0,5120946
2024-11-06,296.8691101074219,298.3999938964844,302.3500061035156,292.5,302.0,6431475
2024-11-07,289.7060546875,291.20001220703125,299.0,289.6499938964844,296.5,3954670
2024-11-08,279.5086364746094,280.95001220703125,294.0,280.0,293.5,4299335
2024-11-11,271.9973449707031,273.3999938964844,280.0,272.0,278.1499938964844,3622416
2024-11-12,268.067626953125,269.45001220703125,279.45001220703125,266.75,277.95001220703125,4751726
2024-11-13,260.3573913574219,261.70001220703125,269.75,260.0,267.0,4699363
2024-11-14,261.3522644042969,262.70001220703125,265.45001220703125,259.8999938964844,260.0,2669822
2024-11-18,263.04351806640625,264.3999938964844,267.45001220703125,259.54998779296875,262.1000061035156,4274822
2024-11-19,261.8497009277344,263.20001220703125,271.04998779296875,261.1000061035156,265.25,3174138
2024-11-21,260.1584167480469,261.5,264.29998779296875,259.04998779296875,261.3999938964844,2360035
2024-11-22,262.04864501953125,263.3999938964844,266.29998779296875,260.6000061035156,261.1000061035156,2174690
2024-11-25,277.3696594238281,278.79998779296875,280.1499938964844,266.5,269.3999938964844,6235902
2024-11-26,277.9665832519531,279.3999938964844,281.8999938964844,275.04998779296875,279.79998779296875,5626845
2024-11-27,275.9270935058594,277.3500061035156,280.8999938964844,274.1000061035156,278.75,2672277
2024-11-28,273.43994140625,274.8500061035156,281.1499938964844,273.25,279.5,3095623
2024-11-29,274.5840148925781,276.0,278.45001220703125,271.70001220703125,275.3999938964844,3469778
2024-12-02,275.3301696777344,276.75,277.8999938964844,272.25,274.0,2062720
2024-12-03,283.2394104003906,284.70001220703125,287.0,277.0,277.0,3904565
2024-12-04,281.9958190917969,283.45001220703125,287.95001220703125,280.95001220703125,286.25,3424906
2024-12-05,283.3388671875,284.79998779296875,286.5,281.04998779296875,284.0,2691392
2024-12-06,286.323486328125,287.79998779296875,291.79998779296875,283.5,283.6000061035156,6286213
2024-12-09,290.9993591308594,292.5,294.79998779296875,287.3999938964844,288.5,4493360
2024-12-10,290.35272216796875,291.8500061035156,294.79998779296875,288.29998779296875,293.75,2769671
2024-12-11,288.5619201660156,290.04998779296875,295.3999938964844,289.0,292.29998779296875,3447384
2024-12-12,289.6562805175781,291.1499938964844,294.29998779296875,283.54998779296875,289.6000061035156,3529344
2024-12-13,290.45220947265625,291.95001220703125,294.79998779296875,279.25,289.70001220703125,3364902
2024-12-16,289.1588439941406,290.6499938964844,291.95001220703125,287.3999938964844,290.0,1546259
