date_,adj close_pghh.ns,close_pghh.ns,high_pghh.ns,low_pghh.ns,open_pghh.ns,volume_pghh.ns
2024-02-27,15910.66015625,16214.599609375,16534.19921875,16188.0,16500.0,4288
2024-02-28,15457.22265625,15752.5,16256.099609375,15366.75,16255.2998046875,44358
2024-02-29,15448.1943359375,15743.2998046875,15910.0498046875,15602.0498046875,15700.0,6890
2024-03-01,15616.234375,15914.5498046875,15997.9501953125,15648.5498046875,15789.400390625,4027
2024-03-04,15614.763671875,15913.0498046875,16277.900390625,15785.0498046875,16189.0,6734
2024-03-05,15583.90234375,15881.599609375,16042.400390625,15700.0,15913.0498046875,6182
2024-03-06,15368.76171875,15662.349609375,15872.349609375,15628.0,15803.0,3529
2024-03-07,15387.798828125,15681.75,15764.9501953125,15555.5,15708.25,8314
2024-03-11,15690.9091796875,15990.650390625,16008.0,15498.5,15734.0,7197
2024-03-12,15327.548828125,15620.349609375,16029.650390625,15570.0,16029.650390625,2639
2024-03-13,15219.12109375,15509.849609375,15777.7001953125,15345.400390625,15739.849609375,2893
2024-03-14,15334.5654296875,15627.5,15701.7998046875,15450.099609375,15623.650390625,2107
2024-03-15,15458.7919921875,15754.099609375,15865.0,15590.2001953125,15630.0,3905
2024-03-18,16112.40625,16420.19921875,16660.150390625,15754.099609375,15754.099609375,14875
2024-03-19,16170.498046875,16479.400390625,16500.0,16178.349609375,16368.9501953125,14918
2024-03-20,16138.7548828125,16447.05078125,16560.0,16301.0,16560.0,1961
2024-03-21,16133.455078125,16441.650390625,16549.75,16359.099609375,16410.0,3046
2024-03-22,16322.5419921875,16634.349609375,16777.0,16442.30078125,16474.55078125,16082
2024-03-26,16204.056640625,16513.599609375,16634.349609375,16475.0,16617.69921875,2541
2024-03-27,16155.5810546875,16464.19921875,16821.19921875,16111.0,16513.599609375,66181
2024-03-28,16611.12890625,16928.44921875,17050.900390625,16371.0498046875,16464.19921875,8220
2024-04-01,16285.3525390625,16596.44921875,17000.0,16500.0,16928.44921875,9825
2024-04-02,15798.8466796875,16100.650390625,16599.849609375,15973.650390625,16332.349609375,18059
2024-04-03,16088.365234375,16395.69921875,16448.55078125,16109.849609375,16199.0,9002
2024-04-04,16046.8095703125,16353.349609375,16419.55078125,16137.5498046875,16395.69921875,5607
2024-04-05,16065.404296875,16372.2998046875,16397.400390625,16187.2998046875,16352.5498046875,14082
2024-04-08,15956.2880859375,16261.099609375,16470.0,16187.0,16347.5498046875,2100
2024-04-09,15875.8759765625,16179.150390625,16329.4501953125,16115.0498046875,16202.0,2127
2024-04-10,15610.54296875,15908.75,16327.7001953125,15866.0,16300.0,4586
2024-04-12,15654.5537109375,15953.599609375,16098.0,15820.0,16060.0,4449
2024-04-15,15584.34375,15882.0498046875,15978.650390625,15755.099609375,15952.9501953125,3351
2024-04-16,15515.0673828125,15811.4501953125,16140.0,15750.0498046875,15882.0498046875,6501
2024-04-18,15775.6396484375,16077.0,16132.25,15795.150390625,15914.150390625,7453
2024-04-19,15644.494140625,15943.349609375,16039.900390625,15898.400390625,16039.900390625,1586
2024-04-22,15655.3388671875,15954.400390625,16023.150390625,15900.9501953125,15959.2001953125,6911
2024-04-23,15627.3720703125,15925.900390625,15973.0,15825.0,15950.0,2239
2024-04-24,15596.021484375,15893.9501953125,16021.2001953125,15845.0,15973.599609375,4176
2024-04-25,15793.6455078125,16095.349609375,16196.0,15890.0,15893.9501953125,5625
