date_,adj close_alkem.ns,close_alkem.ns,high_alkem.ns,low_alkem.ns,open_alkem.ns,volume_alkem.ns
2024-05-29,5208.03759765625,5262.4501953125,5382.89990234375,5183.2998046875,5314.75,495913
2024-05-30,4895.65087890625,4946.7998046875,5150.0,4894.60009765625,5120.0,1490557
2024-05-31,4760.71142578125,4810.4501953125,4972.85009765625,4794.10009765625,4946.7998046875,649815
2024-06-03,4772.24072265625,4822.10009765625,4882.9501953125,4795.0,4815.0,730200
2024-06-04,4659.76611328125,4708.4501953125,4856.2998046875,4407.0498046875,4856.2998046875,439244
2024-06-05,4775.2587890625,4825.14990234375,4864.4501953125,4667.39990234375,4715.0,214474
2024-06-06,4804.40478515625,4854.60009765625,4889.10009765625,4775.0,4840.35009765625,184279
2024-06-07,4904.85546875,4956.10009765625,4963.7998046875,4827.2001953125,4856.2998046875,166257
2024-06-10,4979.12890625,5031.14990234375,5043.39990234375,4940.0,4989.0,86829
2024-06-11,5014.4599609375,5066.85009765625,5099.0,4981.2001953125,5030.2998046875,133269
2024-06-12,5025.59375,5078.10009765625,5120.7001953125,5054.0498046875,5091.9501953125,166160
2024-06-13,5037.07421875,5089.7001953125,5114.89990234375,5051.0,5086.0,111983
2024-06-14,5049.197265625,5101.9501953125,5134.60009765625,5033.0,5114.9501953125,77862
2024-06-18,5164.0966796875,5218.0498046875,5238.0,4908.7998046875,5123.0,581602
2024-06-19,5131.23974609375,5184.85009765625,5258.85009765625,5160.0,5232.0,175111
2024-06-20,5105.01416015625,5158.35009765625,5222.7001953125,5137.7001953125,5184.85009765625,66633
2024-06-21,5076.21484375,5129.25,5198.4501953125,5080.10009765625,5160.14990234375,85035
2024-06-24,4953.99169921875,5005.75,5109.89990234375,4974.0,5088.0,134790
2024-06-25,5040.04296875,5092.7001953125,5259.0,5008.5498046875,5030.0,583680
2024-06-26,4922.17431640625,4973.60009765625,5108.89990234375,4951.39990234375,5099.89990234375,340917
2024-06-27,4872.69140625,4923.60009765625,5034.2998046875,4896.89990234375,5000.0,921005
2024-06-28,4939.74072265625,4991.35009765625,5020.0,4930.5498046875,4932.0,272426
2024-07-01,4907.3291015625,4958.60009765625,5010.7998046875,4941.0,4992.0,172179
2024-07-02,4868.88134765625,4919.75,4979.89990234375,4872.0,4968.60009765625,277425
2024-07-03,4919.35400390625,4970.75,5030.0,4926.0498046875,4933.9501953125,119669
2024-07-04,4929.84423828125,4981.35009765625,5019.0,4955.25,4976.10009765625,106334
2024-07-05,5011.19384765625,5063.5498046875,5085.0,4990.60009765625,4990.89990234375,166745
2024-07-08,5167.857421875,5221.85009765625,5243.7001953125,5063.0,5090.0,272224
2024-07-09,5269.099609375,5324.14990234375,5348.7998046875,5221.85009765625,5250.0,325815
2024-07-10,5171.7666015625,5225.7998046875,5338.0,5156.0498046875,5324.14990234375,303393
2024-07-11,5145.5400390625,5199.2998046875,5294.9501953125,5182.2001953125,5265.0,220197
2024-07-12,5144.99609375,5198.75,5268.0,5164.75,5217.0,155236
2024-07-15,5328.03369140625,5383.7001953125,5450.0,5230.0,5236.10009765625,698631
2024-07-16,5242.0322265625,5296.7998046875,5445.0,5271.64990234375,5445.0,229725
2024-07-18,5218.23095703125,5272.75,5330.0,5190.0,5330.0,133445
2024-07-19,5080.56884765625,5133.64990234375,5268.25,5111.5498046875,5250.0,129496
2024-07-22,5162.7607421875,5216.7001953125,5243.9501953125,5087.0,5130.0,133116
2024-07-23,5127.0830078125,5180.64990234375,5239.10009765625,5030.39990234375,5220.0,109499
2024-07-24,5139.4541015625,5193.14990234375,5271.75,5160.64990234375,5207.89990234375,112401
2024-07-25,5128.765625,5182.35009765625,5206.4501953125,5139.0498046875,5155.0,92426
2024-07-26,5235.154296875,5289.85009765625,5316.85009765625,5189.25,5209.9501953125,171272
2024-07-29,5148.26171875,5202.0498046875,5347.9501953125,5192.5498046875,5325.0,149841
2024-07-30,5172.3603515625,5226.39990234375,5245.14990234375,5180.0,5224.89990234375,128568
2024-07-31,5254.6015625,5309.5,5344.89990234375,5194.0,5226.39990234375,195074
2024-08-01,5216.7958984375,5271.2998046875,5405.85009765625,5251.10009765625,5353.0,147760
2024-08-02,5240.9931640625,5295.75,5344.4501953125,5200.0,5200.0,82865
2024-08-05,5259.25244140625,5314.2001953125,5368.2998046875,5164.75,5200.0498046875,397512
2024-08-06,5268.06005859375,5323.10009765625,5445.9501953125,5304.60009765625,5400.0,295096
2024-08-07,5455.25439453125,5512.25,5524.75,5337.89990234375,5337.89990234375,418116
2024-08-08,5628.2470703125,5687.0498046875,5746.60009765625,5493.39990234375,5548.0,687558
2024-08-09,5741.96044921875,5796.85009765625,5848.0,5516.0498046875,5715.10009765625,1337022
2024-08-12,5660.73681640625,5714.85009765625,5850.0,5656.9501953125,5850.0,284368
2024-08-13,5655.337890625,5709.39990234375,5795.2001953125,5672.0,5734.0,305322
2024-08-14,5628.7919921875,5682.60009765625,5816.85009765625,5672.60009765625,5750.0,353454
2024-08-16,5628.1484375,5681.9501953125,5750.0,5625.60009765625,5750.0,299515
2024-08-19,5686.34228515625,5740.7001953125,5764.64990234375,5677.35009765625,5722.14990234375,202117
2024-08-20,5678.763671875,5733.0498046875,5798.0,5705.0498046875,5748.5,370393
2024-08-21,5735.1748046875,5790.0,5828.89990234375,5723.7998046875,5731.0,268688
2024-08-22,5713.4326171875,5768.0498046875,5864.5498046875,5748.5,5862.0,342906
2024-08-23,5699.3671875,5753.85009765625,5805.0,5725.5498046875,5802.0,249955
2024-08-26,5763.5537109375,5818.64990234375,5831.0,5700.0,5795.14990234375,142428
2024-08-27,5835.21826171875,5891.0,5991.5498046875,5822.0498046875,5858.0,532448
2024-08-28,5940.61083984375,5997.39990234375,6021.10009765625,5850.2998046875,5896.5,384104
2024-08-29,5942.4931640625,5999.2998046875,6064.7998046875,5961.0,6009.9501953125,198586
2024-08-30,6111.92333984375,6170.35009765625,6199.89990234375,5998.5,6020.0,429045
2024-09-02,6016.13916015625,6073.64990234375,6190.0,6057.60009765625,6174.9501953125,83378
