date_,adj close_tmpv.ns,close_tmpv.ns,high_tmpv.ns,low_tmpv.ns,open_tmpv.ns,volume_tmpv.ns
2025-12-12,347.45001220703125,347.45001220703125,349.3500061035156,344.75,348.0,7241621
2025-12-15,347.1499938964844,347.1499938964844,348.75,343.04998779296875,347.45001220703125,8169383
2025-12-16,345.45001220703125,345.45001220703125,349.3500061035156,343.8999938964844,347.1499938964844,8391226
2025-12-17,346.3500061035156,346.3500061035156,350.0,345.3999938964844,346.45001220703125,7045390
2025-12-18,345.79998779296875,345.79998779296875,347.45001220703125,337.70001220703125,346.3500061035156,15417500
2025-12-19,352.6499938964844,352.6499938964844,354.79998779296875,347.0,347.3999938964844,74052760
2025-12-22,359.1499938964844,359.1499938964844,360.95001220703125,353.6000061035156,356.25,10798310
2025-12-23,363.25,363.25,366.75,357.6499938964844,361.0,11885570
2025-12-24,359.20001220703125,359.20001220703125,364.8999938964844,358.54998779296875,364.0,9212351
2025-12-26,358.79998779296875,358.79998779296875,360.3999938964844,354.70001220703125,359.20001220703125,8589856
2025-12-29,358.6000061035156,358.6000061035156,362.79998779296875,357.8500061035156,358.5,10050260
2025-12-30,361.75,361.75,363.95001220703125,358.45001220703125,358.6000061035156,13807060
2025-12-31,367.3500061035156,367.3500061035156,368.5,360.6499938964844,361.75,10439180
2026-01-01,367.54998779296875,367.54998779296875,371.0,365.54998779296875,368.8500061035156,7214281
2026-01-02,370.3500061035156,370.3500061035156,372.8999938964844,368.54998779296875,369.20001220703125,7077536
2026-01-05,373.54998779296875,373.54998779296875,375.0,369.1000061035156,370.3500061035156,9591926
2026-01-06,368.8999938964844,368.8999938964844,371.5,360.0,371.5,17493340
2026-01-07,363.3500061035156,363.3500061035156,367.25,359.20001220703125,367.04998779296875,10682220
2026-01-08,359.45001220703125,359.45001220703125,365.3500061035156,358.0,363.29998779296875,7353203
2026-01-09,354.1499938964844,354.1499938964844,359.75,352.20001220703125,358.0,8018768
2026-01-12,350.54998779296875,350.54998779296875,354.1499938964844,347.6499938964844,352.95001220703125,9771562
2026-01-13,349.75,349.75,351.8999938964844,345.6000061035156,350.6499938964844,7527115
2026-01-14,349.79998779296875,349.79998779296875,354.0,347.1000061035156,349.0,6249594
2026-01-16,353.6000061035156,353.6000061035156,359.70001220703125,349.6499938964844,349.70001220703125,10735620
