date_,adj close_pageind.ns,close_pageind.ns,high_pageind.ns,low_pageind.ns,open_pageind.ns,volume_pageind.ns
2024-05-15,33962.515625,35010.55078125,35400.0,34772.1484375,35400.0,7038
2024-05-16,34563.6640625,35630.25,35718.0,35018.0,35018.0,13313
2024-05-17,34516.37109375,35581.5,36011.1015625,35315.25,35639.8984375,13750
2024-05-21,34183.01171875,35237.8515625,35680.1015625,35050.0,35555.55078125,19535
2024-05-22,35237.8125,36325.19921875,36448.94921875,34760.0,35440.0,55367
2024-05-23,34516.2265625,35581.3515625,36690.0,35200.1015625,36690.0,59941
2024-05-24,34490.5703125,35554.8984375,35896.3515625,34525.0,35096.0,74897
2024-05-27,35512.046875,36607.8984375,37072.6484375,35206.5,35600.0,76565
2024-05-28,35268.12109375,36356.44921875,36845.69921875,36015.05078125,36561.0,21541
2024-05-29,35393.65234375,36485.8515625,36865.8984375,36056.44921875,36056.44921875,19627
2024-05-30,36828.28515625,37964.75,38443.94921875,36276.0,36485.8515625,64767
2024-05-31,34988.98828125,35954.69921875,37578.6484375,35731.05078125,37550.0,59479
2024-06-03,35362.38671875,36338.3984375,36799.8515625,35901.1484375,36499.8984375,33981
2024-06-04,35737.58203125,36723.94921875,37050.0,35800.6484375,36299.8984375,39899
2024-06-05,37513.515625,38548.8984375,38656.0,36723.94921875,36756.0,33554
2024-06-06,37751.44921875,38793.3984375,38911.19921875,37500.0,38548.8984375,26535
2024-06-07,37319.42578125,38349.44921875,38790.0,38069.1015625,38789.94921875,30501
2024-06-10,37614.578125,38652.75,38775.0,37893.6015625,38390.0,53126
2024-06-11,37932.6015625,38979.55078125,39149.94921875,38430.1484375,38652.0,18652
2024-06-12,37608.39453125,38646.3984375,39249.94921875,38502.0,39050.0,18592
2024-06-13,37789.984375,38833.0,38950.0,38609.55078125,38849.94921875,9557
2024-06-14,37478.29296875,38512.69921875,39070.6484375,38308.5,38833.0,30606
2024-06-18,37392.65234375,38424.69921875,38743.1484375,38266.0,38400.1015625,13946
2024-06-19,37900.828125,38946.8984375,39246.75,38333.25,38509.0,25797
2024-06-20,38498.38671875,39560.94921875,39629.94921875,38657.55078125,38946.8984375,17723
2024-06-21,38739.1875,39808.3984375,39969.3984375,38900.0,39501.0,20473
2024-06-24,39224.83203125,40307.44921875,40499.0,39290.0,39808.0,46367
2024-06-25,39369.25390625,40455.8515625,40700.0,40018.3515625,40290.0,11831
2024-06-26,38521.73828125,39584.94921875,40793.1015625,39460.5,40290.0,21745
2024-06-27,39003.87890625,40080.3984375,40250.0,39226.3984375,39302.0,27798
2024-06-28,38049.18359375,39099.3515625,40224.94921875,38900.0,40200.0,13167
2024-07-01,37997.8046875,39046.55078125,39300.0,38600.0,38952.05078125,15870
2024-07-02,37772.9140625,38815.44921875,39605.94921875,38701.0,39046.55078125,14106
2024-07-03,37364.1875,38395.44921875,39175.30078125,38300.0,39049.94921875,24244
2024-07-04,37652.43359375,38691.6484375,38800.0,38375.0,38589.0,7141
2024-07-05,38351.828125,39410.3515625,39550.0,38697.75,38708.19921875,16590
2024-07-08,38400.390625,39460.25,39600.0,38850.0,39590.0,32294
2024-07-09,38358.88671875,39417.6015625,39960.0,39200.0,39419.0,11669
2024-07-10,38420.140625,39480.55078125,39749.6015625,39010.0,39417.6015625,11878
2024-07-11,38323.8515625,39381.6015625,39757.6015625,39164.05078125,39480.0,11552
2024-07-12,38686.83203125,39754.6015625,39888.55078125,39062.80078125,39381.6015625,11026
2024-07-15,39452.65234375,40541.55078125,40750.0,39132.1015625,39654.6015625,40603
2024-07-16,39853.046875,40953.0,41350.0,40380.05078125,40501.0,30665
