symbol,yahoo_symbol,market_cap_cr,date
KPIL,KPIL.NS,19623.47,2026-01-18
SUNDRMFAST,SUNDRMFAST.NS,19608.13,2026-01-18
WELCORP,WELCORP.NS,19449.83,2026-01-18
TATACHEM,TATACHEM.NS,19235.37,2026-01-18
CHALET,CHALET.NS,19208.83,2026-01-18
NETWEB,NETWEB.NS,18964.32,2026-01-18
CRAFTSMAN,CRAFTSMAN.NS,18531.02,2026-01-18
KFINTECH,KFINTECH.NS,18467.27,2026-01-18
SAILIFE,SAILIFE.NS,18423.59,2026-01-18
CHOICEIN,CHOICEIN.NS,18337.48,2026-01-18
CASTROLIND,CASTROLIND.NS,18326.46,2026-01-18
KEC,KEC.NS,18137.54,2026-01-18
NEULANDLAB,NEULANDLAB.NS,18091.63,2026-01-18
CAMS,CAMS.NS,18041.31,2026-01-18
DCMSHRIRAM,DCMSHRIRAM.NS,18038.5,2026-01-18
VENTIVE,VENTIVE.NS,17819.22,2026-01-18
GMDCLTD,GMDCLTD.NS,17698.07,2026-01-18
ATUL,ATUL.NS,17673.89,2026-01-18
CHAMBLFERT,CHAMBLFERT.NS,17634.71,2026-01-18
BIKAJI,BIKAJI.NS,17533.97,2026-01-18
SARDAEN,SARDAEN.NS,17324.82,2026-01-18
CGCL,CGCL.NS,17285.1,2026-01-18
GSPL,GSPL.NS,17249.93,2026-01-18
KIRLOSENG,KIRLOSENG.NS,17009.27,2026-01-18
ABREL,ABREL.NS,16910.0,2026-01-18
GPIL,GPIL.NS,16706.44,2026-01-18
RRKABEL,RRKABEL.NS,16688.06,2026-01-18
POLYMED,POLYMED.NS,16672.62,2026-01-18
PGEL,PGEL.NS,16667.48,2026-01-18
CENTURYPLY,CENTURYPLY.NS,16611.87,2026-01-18
EIDPARRY,EIDPARRY.NS,16559.95,2026-01-18
JUBLPHARMA,JUBLPHARMA.NS,16549.1,2026-01-18
IFCI,IFCI.NS,16371.13,2026-01-18
SOBHA,SOBHA.NS,16328.6,2026-01-18
COHANCE,COHANCE.NS,16295.45,2026-01-18
DEVYANI,DEVYANI.NS,16295.45,2026-01-18
ZENSARTECH,ZENSARTECH.NS,16263.55,2026-01-18
JSWCEMENT,JSWCEMENT.NS,16242.56,2026-01-18
TBOTEK,TBOTEK.NS,16184.65,2026-01-18
CROMPTON,CROMPTON.NS,16175.14,2026-01-18
ARE&M,ARE&M.NS,16088.84,2026-01-18
GESHIP,GESHIP.NS,16012.76,2026-01-18
NAVA,NAVA.NS,16005.14,2026-01-18
TRITURBINE,TRITURBINE.NS,15986.71,2026-01-18
KAJARIACER,KAJARIACER.NS,15910.51,2026-01-18
MAHSCOOTER,MAHSCOOTER.NS,15790.81,2026-01-18
BASF,BASF.NS,15726.97,2026-01-18
OLAELEC,OLAELEC.NS,15625.55,2026-01-18
CARBORUNIV,CARBORUNIV.NS,15533.73,2026-01-18
DOMS,DOMS.NS,15438.41,2026-01-18
NATCOPHARM,NATCOPHARM.NS,15392.7,2026-01-18
AGARWALEYE,AGARWALEYE.NS,15366.75,2026-01-18
CEATLTD,CEATLTD.NS,15321.58,2026-01-18
IRCON,IRCON.NS,15282.44,2026-01-18
APLLTD,APLLTD.NS,15268.58,2026-01-18
FIVESTAR,FIVESTAR.NS,15193.87,2026-01-18
DEEPAKFERT,DEEPAKFERT.NS,15137.4,2026-01-18
BEML,BEML.NS,14904.57,2026-01-18
SCHNEIDER,SCHNEIDER.NS,14824.45,2026-01-18
THELEELA,THELEELA.NS,14745.15,2026-01-18
JKTYRE,JKTYRE.NS,14512.49,2026-01-18
NIVABUPA,NIVABUPA.NS,14509.14,2026-01-18
DATAPATTNS,DATAPATTNS.NS,14231.12,2026-01-18
GRANULES,GRANULES.NS,14151.19,2026-01-18
CONCORDBIO,CONCORDBIO.NS,14136.65,2026-01-18
ABLBL,ABLBL.NS,14121.28,2026-01-18
AKZOINDIA,AKZOINDIA.NS,14066.49,2026-01-18
JBMA,JBMA.NS,14024.97,2026-01-18
UTIAMC,UTIAMC.NS,13965.96,2026-01-18
CAPLIPOINT,CAPLIPOINT.NS,13895.73,2026-01-18
JWL,JWL.NS,13782.7,2026-01-18
INDIAMART,INDIAMART.NS,13752.8,2026-01-18
SYRMA,SYRMA.NS,13644.36,2026-01-18
ELGIEQUIP,ELGIEQUIP.NS,13635.94,2026-01-18
IGIL,IGIL.NS,13623.83,2026-01-18
SWANCORP,SWANCORP.NS,13600.82,2026-01-18
APTUS,APTUS.NS,13519.78,2026-01-18
VGUARD,VGUARD.NS,13334.69,2026-01-18
CYIENT,CYIENT.NS,13256.59,2026-01-18
FIRSTCRY,FIRSTCRY.NS,13205.08,2026-01-18
MINDACORP,MINDACORP.NS,13199.04,2026-01-18
RPOWER,RPOWER.NS,13187.81,2026-01-18
